animal_name,animal_type,primary_breed,primary_color,sex,animal_size,dob,intake_date,outcome_date,intake_type,intake_subtype,outcome_type,outcome_subtype,intake_cond,outcome_cond,crossing
JACK,CAT,DOMESTIC SH,ORG TABBY,N,MED,9/22/1999,3/22/2022,00:00.0,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,,"304 S WASHINGTON ST, DENVER CO 80209"
SARGE,CAT,DOMESTIC SH,GRAY,N,LARGE,3/23/2014,3/22/2022,00:00.0,STRAY,OTC,ADOPTION,EMAIL,NORMAL,U/U AGG,"1173 S ALCOTT ST, DENVER CO 80219"
BELLA,CAT,DOMESTIC SH,BLACK,F,MED,,3/22/2022,00:00.0,OWNER SUR,OTC,EUTH,,NORMAL,U/U AGG,"4404 MORRISON RD, DENVER CO 80219"
WEMBLEY,DOG,YORKSHIRE TERR,BLACK,N,SMALL,9/28/2020,3/22/2022,00:00.0,STRAY,FIELD,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"5565 N CEYLON ST, DENVER CO 80249"
,OTHER,RACCOON,GRAY,U,LARGE,,3/22/2022,00:00.0,STRAY,FIELD,EUTH,,SICK,U/U WILDLF,"5555 N JOLIET ST, DENVER CO 80239"
MALAKAI,DOG,AUST SHEPHERD,TRICOLOR,M,SMALL,12/22/2021,3/22/2022,00:00.0,OWNER SUR,NONCONFIRM,TRANSFER,4 PAWS 4,NORMAL,,"875 S VRAIN ST, DENVER CO 80219"
,CAT,DOMESTIC SH,GRAY TABBY,S,MED,9/29/2020,3/22/2022,00:00.0,STRAY,OTC,TRANSFER,SNR P & C,FEARFUL,U/U FER AD,"5175 JULIET ST, DENVER, CO, 80239"
LAKE,DOG,AUST CATTLE DOG,WHITE,N,LARGE,10/1/2014,3/22/2022,00:00.0,STRAY TAGS,OTC,RTO,EMAIL,NORMAL,,"4100 S BROADWAY ENGLEWOOD, CO"
MAVIS,DOG,WH TERRIER,WHITE,F,SMALL,12/31/2021,3/22/2022,00:00.0,STRAY,OTC,TRANSFER,,NORMAL,H-HEALTHY,"2001 W CEDAR AVE, DENVER CO 80223"
RIVER,DOG,LABRADOR RETR,TAN,S,MED,6/15/2014,3/22/2022,00:00.0,STRAY TAGS,OTC,RTO,EMAIL,NORMAL,,4100 S BROADWAY ENGLEWOOD CO
,OTHER,SQUIRREL,BROWN,U,MED,,3/22/2022,00:00.0,STRAY,FIELD,EUTH,,INJURED,U/U WILDLF,"3037 S EMPORIA CT, DENVER CO 80231"
LUNA,CAT,DOMESTIC SH,BRN TABBY,S,MED,3/22/2017,3/22/2022,00:00.0,OWNER SUR,,FOSTER,,SICK,U/U AGG,TRANSIENT
LUNA,CAT,DOMESTIC SH,BRN TABBY,S,MED,3/22/2017,4/18/2022,00:00.0,FOSTER IN,,ADOPTION,,AGGRESSIVE,U/U AGG,FOSTER IN
ROCKIE,DOG,LABRADOR RETR,TAN,N,LARGE,9/23/2017,3/22/2022,00:00.0,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,NORMAL,"529 N LOWELL BLVD, DENVER CO 80204"
FITZ,DOG,NORWICH TERRIER,RED,N,SMALL,4/2/2021,3/22/2022,00:00.0,STRAY,,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"4400 N TEJON ST, DENVER CO 80211"
CHAPO,DOG,CHIHUAHUA SH,RED,N,SMALL,4/2/2021,3/22/2022,00:00.0,STRAY,,ADOPTION,EMAIL,NORMAL,T/M MED MO,"4400 N TEJON ST, DENVER CO 80211"
KODY,DOG,SHIH TZU,APRICOT,N,SMALL,3/28/2014,3/23/2022,00:00.0,STRAY,OTC,ADOPTION,EMAIL,NORMAL,T/M MED MO,"1241 W BAYAUD AVE, DENVER CO 80223"
GAMBINO,DOG,LABRADOR RETR,BLACK,N,MED,3/23/2021,3/23/2022,00:00.0,STRAY,FIELD,FOSTER,,NORMAL,T/M MED MO,"3820 S AMES ST, DENVER CO 80235"
GAMBINO,DOG,LABRADOR RETR,BLACK,N,MED,3/23/2021,5/2/2022,00:00.0,FOSTER IN,,ADOPTION,EMAIL,NORMAL,T/M MED MO,FOSTER RETURN
GAMBINO,DOG,LABRADOR RETR,BLACK,N,MED,3/23/2021,4/21/2022,00:00.0,FOSTER IN,,FOSTER,,NORMAL,T/M MED MO,FOSTER IN
GAMBINO,DOG,LABRADOR RETR,BLACK,N,MED,3/23/2021,4/13/2022,00:00.0,FOSTER IN,,FOSTER,,NORMAL,T/M MED MO,FOSTER IN
GAMBINO,DOG,LABRADOR RETR,BLACK,N,MED,3/23/2021,5/31/2022,00:00.0,ADOPT RET,OTC,ADOPTION,EMAIL,SICK,H-HEALTHY,"3820 S AMES ST, DENVER CO 80235"
MAX,DOG,SIBERIAN HUSKY,WHITE,M,LARGE,3/23/2011,3/23/2022,00:00.0,OWNER SUR,OTC,DISPOSAL,DOA,DEAD,CREMATION,"739 N MARIPOSA ST, DENVER CO 80204"
VIN WEASEL,OTHER,FERRET,WHITE,N,MED,4/2/2020,3/23/2022,00:00.0,CONFISCATE,FIELD,ADOPTION,EMAIL,NORMAL,T/M EXOTIC,"13850 E ALBROOK DR, DENVER CO 80239"
WILL FERRET,OTHER,FERRET,BROWN,N,MED,4/2/2020,3/23/2022,00:00.0,CONFISCATE,FIELD,ADOPTION,EMAIL,NORMAL,T/M EXOTIC,"13850 E ALBROOK DR, DENVER CO 80239"
FURRET,OTHER,FERRET,SABLE,S,MED,3/27/2020,3/23/2022,00:00.0,CONFISCATE,FIELD,ADOPTION,EMAIL,NORMAL,T/M EXOTIC,"13850 E ALBROOK DR, DENVER CO 80239"
LARIMER,DOG,WH TERRIER,WHITE,N,SMALL,3/30/2021,3/23/2022,00:00.0,STRAY,OTC,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"3005 S GOLDEN WAY, DENVER, CO 80227"
DAISY MAE,DOG,WH TERRIER,WHITE,S,SMALL,10/1/2020,3/23/2022,00:00.0,STRAY,OTC,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"3005 S GOLDEN WAY, DENVER, CO 80227"
CUPID,DOG,AM PIT BULL TER,WHITE,M,LARGE,7/11/2020,3/23/2022,00:00.0,STRAY TAGS,FIELD,RTO,EMAIL,NORMAL,,"1600 N PEARL ST, DENVER CO 80203"
AZUL,DOG,PIT BULL,BLACK,F,MED,7/23/2021,3/23/2022,00:00.0,STRAY,OTC,RTO,OFFICE,NORMAL,NORMAL,"3300 W EVANS AVE, DENVER CO 80219"
AZUL,DOG,PIT BULL,BLACK,F,MED,7/23/2021,8/22/2022,00:00.0,STRAY TAGS,FIELD,RTO,FIELD,NORMAL,NORMAL,"3545 W HARVARD AVE, DENVER CO 80219"
,CAT,DOMESTIC SH,CALICO,S,MED,3/28/2012,3/23/2022,00:00.0,STRAY,OTC,EUTH,,NORMAL,U/U MED SV,"4800 S WADSWORTH BLVD, DENVER CO 80123"
,OTHER,SQUIRREL,BROWN,U,MED,,3/23/2022,00:00.0,STRAY,FIELD,DISPOSAL,DOA,DEAD,DEAD,"1575 S SAINT PAUL ST, DENVER CO 80210"
,DOG,CHIHUAHUA SH,BLACK,U,TOY,,3/23/2022,00:00.0,STRAY,FIELD,DISPOSAL,,DEAD,DEAD,"5485 20TH ST, DENVER CO 80205"
BUDDY,DOG,PIT BULL,BROWN,N,LARGE,3/23/2019,3/23/2022,00:00.0,STRAY,FIELD,RTO,FIELD,NORMAL,NORMAL,"300 S WEIR DR, DENVER CO 80219"
SCOUT,DOG,PARSON RUSS TER,TRICOLOR,N,SMALL,4/20/2015,3/24/2022,00:00.0,STRAY TAGS,FIELD,RTO,EMAIL,NORMAL,NORMAL,"2300 WELTON ST, DENVER CO 80205"
ODIN,DOG,GERM SHEPHERD,BLACK,N,LARGE,3/24/2019,3/24/2022,00:00.0,STRAY,DROP BOX,RTO,EMAIL,NORMAL,NORMAL,"1241 W BAYAUD AVE, DENVER CO 80223"
RUBY,DOG,ROTTWEILER,BLACK,S,LARGE,3/24/2016,3/24/2022,00:00.0,STRAY,DROP BOX,RTO,EMAIL,NORMAL,NORMAL,"1241 W BAYAUD AVE, DENVER CO 80223"
FARLOW,CAT,DOMESTIC SH,TORTIE,S,MED,6/25/2019,3/24/2022,00:00.0,STRAY,DROP BOX,RTO,OFFICE,NORMAL,NORMAL,"1241 W BAYAUD AVE, DENVER CO 80223"
MERIDA,CAT,DOMESTIC MH,BLACK,S,LARGE,3/26/2013,3/24/2022,00:00.0,STRAY,DROP BOX,RTO,EMAIL,NORMAL,,"1241 W BAYAUD AVE, DENVER CO 80223"
KING,CAT,DOMESTIC SH,GRAY,N,SMALL,4/24/2021,3/24/2022,00:00.0,OWNER SUR,OTC,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"155 S DECATUR ST, DENVER CO 80219"
YODA,OTHER,BEARDED DRAGON,GRAY,U,MED,,3/24/2022,00:00.0,CONFISCATE,FIELD,EUTH,U/U EQ,SICK,,"3257 S PARKER RD, DENVER CO 80014"
,BIRD,GOOSE,WHITE,U,MED,,3/24/2022,00:00.0,STRAY,FIELD,EUTH,,INJURED,U/U WILDLF,"3900 N REVERE ST, DENVER CO 80239"
GUS,OTHER,TORTOISE,BROWN,U,MED,,3/24/2022,00:00.0,CONFISCATE,FIELD,DISPOSAL,DOA,DEAD,DEAD,"3257 S PARKER RD, DENVER CO 80014"
WOLFIE,DOG,SIBERIAN HUSKY,BLACK,N,LARGE,4/2/2017,3/25/2022,00:00.0,STRAY TAGS,DROP BOX,ADOPTION,EMAIL,NORMAL,T/M MED MO,"1241 W BAYAUD AVE, DENVER CO 80223"
WOLFIE,DOG,SIBERIAN HUSKY,BLACK,N,LARGE,4/2/2017,4/25/2022,00:00.0,ADOPT RET,OTC,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"1225 N SANTA FE DR, DENVER CO 80204"
WILLY,DOG,GREAT PYRENEES,WHITE,M,X-LRG,3/25/2020,3/25/2022,00:00.0,STRAY,DROP BOX,RTO,OFFICE,NORMAL,NORMAL,ARKANSAS & PEARL
CODA,DOG,LABRADOR RETR,BLACK,S,MED,4/2/2020,3/25/2022,00:00.0,STRAY,,ADOPTION,EMAIL,NORMAL,T/M FEARFU,"6565 W BROWN PL, DENVER CO 80227"
,OTHER,RACCOON,GRAY,U,SMALL,,3/25/2022,00:00.0,STRAY,FIELD,EUTH,,SICK,U/U WILDLF,"4567 W 37TH PL, DENVER CO 80212"
KYRIE,DOG,BEAGLE,TRICOLOR,N,MED,3/25/2017,3/25/2022,00:00.0,OWNER SUR,OTC,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"8664 E 48TH AVE, DENVER CO 80238"
,CAT,DOMESTIC SH,BLACK,N,MED,4/6/2021,3/25/2022,00:00.0,STRAY,OTC,TRANSFER,SNR P & C,FEARFUL,U/U FER AD,"4507 W EXPOSITION AVE, DENVER CO 80219"
BOBBY,CAT,DOMESTIC SH,WHITE,N,MED,3/28/2021,3/25/2022,00:00.0,STRAY,,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"2201 W VIRIGINA AVE, DENVER, CO, 80223"
SHAKIRA,CAT,DOMESTIC MH,BRN TABBY,S,SMALL,3/26/2021,3/25/2022,00:00.0,STRAY,OTC,ADOPTION,EMAIL,NORMAL,T/M MED MO,"1515 W NEVADA PL, DENVER CO 80223"
,OTHER,RACCOON,GRAY,U,MED,,3/25/2022,00:00.0,STRAY,FIELD,EUTH,,INJURED,U/U WILDLF,"15600 E 53RD AVE, DENVER CO 80239"
BENEDICT,DOG,LABRADOR RETR,BLACK,N,LARGE,3/30/2019,3/25/2022,00:00.0,STRAY,OTC,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"3469 W OHIO AVE, DENVER CO 80219"
NALA,DOG,BOXER,FAWN,S,LARGE,3/30/2020,3/25/2022,00:00.0,OWNER SUR,,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"10025 E GIRARD AVE, DENVER CO 80231"
,DOG,PIT BULL,BLACK,U,PUPPY,,3/25/2022,00:00.0,STRAY,FIELD,DISPOSAL,DOA,DEAD,DEAD,"7200 E MARTIN LUTHER KING BLVD, DENVER CO 80207"
,OTHER,SQUIRREL,BROWN,U,SMALL,,3/25/2022,00:00.0,STRAY,OTC,TRANSFER,GREENWOOD,NORMAL,U/U WILDLF,"1200 N MEADE ST, DENVER CO 80204"
GIZMO,DOG,SHIH TZU,BLACK,M,MED,3/25/2005,3/25/2022,00:00.0,STRAY,FIELD,RTO,OFFICE,SICK,NORMAL,"18500 E 63RD AVE, DENVER CO 80249"
CHAI,CAT,DOMESTIC SH,WHITE,F,MED,,3/25/2022,00:00.0,OWNER SUR,FIELD,DISPOSAL,DOA,DEAD,CREMATION,"518 N CORONA ST, DENVER CO 80218"
KITA,DOG,CHOW CHOW,WHITE,N,MED,11/12/2019,3/25/2022,00:00.0,STRAY,FIELD,FOSTER,,NORMAL,U/U AGG,"400 S CHEROKEE ST, DENVER CO 80223"
KITA,DOG,CHOW CHOW,WHITE,N,MED,11/12/2019,5/3/2022,00:00.0,FOSTER IN,OTC,ADOPTION,EMAIL,NORMAL,U/U AGG,FOSTER IN
TERIYAKI,BIRD,ROOSTER,BLACK,M,MED,4/19/2019,3/26/2022,00:00.0,STRAY,DROP BOX,ADOPTION,EMAIL,NORMAL,T/M EXOTIC,30TH & SHERIDAN
KAYENTA,DOG,GERM SHEPHERD,BLACK,N,MED,9/26/2018,3/26/2022,00:00.0,STRAY TAGS,DROP BOX,RTO,OFFICE,NORMAL,NORMAL,MOSIER & BRYANT
CHUBBS,DOG,AM PIT BULL TER,TAN,N,MED,3/26/2020,3/26/2022,00:00.0,STRAY,DROP BOX,RTO,OFFICE,NORMAL,NORMAL,LOWELL & EVANS
FREYA,DOG,AM PIT BULL TER,WHITE,S,MED,3/26/2020,3/26/2022,00:00.0,STRAY,DROP BOX,RTO,OFFICE,NORMAL,NORMAL,LOWELL & EVANS
HORTON,DOG,MASTIFF,BL BRINDLE,N,LARGE,4/6/2020,3/26/2022,00:00.0,STRAY,,ADOPTION,EMAIL,FEARFUL,T/M FEARFU,"1241 W BAYAUD AVE, DENVER CO 80223"
HORTON,DOG,MASTIFF,BL BRINDLE,N,LARGE,4/6/2020,7/3/2022,00:00.0,ADOPT RET,OTC,TRANSFER,DFL,NORMAL,U/U AGG,11801 WASHINGTON ST DENVER 80233
EMERALD,CAT,DOMESTIC LH,GRAY,S,MED,10/1/2021,3/26/2022,00:00.0,STRAY,,ADOPTION,EMAIL,NORMAL,T/M MED MO,"1241 W BAYAUD AVE, DENVER CO 80223"
BRUNO,DOG,SIBERIAN HUSKY,BLACK,N,LARGE,7/16/2018,3/26/2022,00:00.0,OWNER SUR,OTC,ADOPTION,EMAIL,NORMAL,T/M MED MO,"2665 S NEWTON ST, DENVER CO 80219"
KIMBERLY,DOG,SILKY TERRIER,TAN,F,SMALL,3/26/2005,3/26/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,AGED,,"649 S ZUNI ST, DENVER CO 80223"
,DOG,BOXER,BROWN,F,MED,3/26/2013,3/26/2022,00:00.0,STRAY,FIELD,EUTH,,SICK,U/U MED SV,"3850 E COLFAX AVE, DENVER CO 80206"
YUKI,DOG,AM PIT BULL TER,GRAY,N,LARGE,3/26/2021,3/26/2022,00:00.0,OWNER SUR,NONCONFIRM,ADOPTION,EMAIL,NORMAL,T/M FEARFU,"3440 W EXPOSITION AVE, DENVER CO 80219"
BLOSSOM,DOG,POODLE MIN,APRICOT,S,SMALL,4/3/2020,3/26/2022,00:00.0,STRAY,,ADOPTION,EMAIL,NORMAL,T/M MED MO,"3659 N NAVAJO ST, DENVER CO 80211"
DAVY JONES,DOG,PUG,TAN,N,SMALL,4/4/2020,3/26/2022,00:00.0,STRAY,FIELD,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"5015 MORRISON RD, DENVER CO 80219"
CHIKA,DOG,SHIH TZU,BLACK,F,SMALL,12/15/2010,3/26/2022,00:00.0,STRAY,OTC,RTO,OFFICE,NORMAL,T/M MED MO,"5200 N SABLE ST, DENVER CO 80239"
CLEO,DOG,AMER BULLDOG,WHITE,F,LARGE,3/26/2020,3/26/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,NORMAL,U/U MED SV,"1250 S TENNYSON ST, DENVER CO 80219"
BUNNY,DOG,AUST CATTLE DOG,WHITE,S,MED,5/31/2021,3/26/2022,00:00.0,STRAY,,ADOPTION,EMAIL,NORMAL,T/M MED MO,"2878 N GENEVA CT, DENVER CO 80238"
GIBBY,CAT,DOMESTIC MH,BRN TABBY,N,MED,3/31/2021,3/27/2022,00:00.0,STRAY,,ADOPTION,EMAIL,NORMAL,T/M FEARFU,"1241 W BAYAUD AVE, DENVER CO 80223"
NAVBI,CAT,DOMESTIC SH,BRN TABBY,S,MED,3/31/2020,3/27/2022,00:00.0,STRAY,OTC,RTO,EMAIL,FERAL,FERAL,"1240 S ZENOBIA ST, DENVER CO 80219"
,OTHER,RACCOON,GRAY,U,SMALL,,3/27/2022,00:00.0,STRAY,FIELD,TRANSFER,,INJURED,U/U WILDLF,"4668 N RALEIGH ST, DENVER CO 80212"
TINA,DOG,AKITA,APRICOT,F,PUPPY,2/3/2022,3/27/2022,00:00.0,STRAY,DROP BOX,TRANSFER,,NORMAL,H-HEALTHY,100 S TELLER ST DENVER CO 80227
DUKE,DOG,LABRADOR RETR,BLACK,N,LARGE,3/29/2017,3/27/2022,00:00.0,STRAY TAGS,FIELD,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"4490 E JEWELL AVE, DENVER CO 80222"
TAROT,CAT,DOMESTIC SH,BLACK,S,MED,4/9/2018,3/27/2022,00:00.0,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,U/U AGG,"330 N ACOMA ST, DENVER CO 80223"
ROO,DOG,GERM SHEPHERD,BROWN,S,LARGE,3/27/2020,3/27/2022,00:00.0,STRAY,,FOSTER,,NORMAL,H-HEALTHY,"5563 N JEBEL CT, DENVER CO 80249"
ROO,DOG,GERM SHEPHERD,BROWN,S,LARGE,3/27/2020,4/27/2022,00:00.0,FOSTER IN,OTC,ADOPTION,EMAIL,NORMAL,H-HEALTHY,FOSTER IN
DAX,DOG,ROTTWEILER,BLACK,N,MED,10/30/2015,3/27/2022,00:00.0,STRAY TAGS,FIELD,RTO,OFFICE,NORMAL,NORMAL,"1260 N WABASH ST, DENVER CO 80220"
TINY,OTHER,HAMSTER,BROWN,U,SMALL,10/5/2021,3/27/2022,00:00.0,STRAY,OTC,TRANSFER,HSPPR,NORMAL,H-HEALTHY,"300 S RACE ST, DENVER, CO 80209"
HAMSTRING,OTHER,HAMSTER,BROWN,M,SMALL,4/3/2021,3/27/2022,00:00.0,STRAY,OTC,TRANSFER,HSPPR,NORMAL,H-HEALTHY,"300 S RACE ST, DENVER, CO 80209"
,OTHER,RACCOON,BLACK,U,MED,,3/27/2022,00:00.0,STRAY,FIELD,EUTH,,SICK,U/U WILDLF,"1252 N XANTHIA ST, DENVER CO 80220"
SHELLY,OTHER,TURTLE,GREEN,F,MED,3/27/2021,3/27/2022,00:00.0,OWNER SUR,NONCONFIRM,TRANSFER,LIBR,NORMAL,T/M EXOTIC,"1172 S QUIVAS ST, DENVER CO 80223"
,BIRD,ROBIN,GRAY,U,SMALL,,3/27/2022,00:00.0,STRAY,OTC,EUTH,,NORMAL,U/U WILDLF,"2140 W ASBURY AVE, DENVER, CO 80223"
ELVIS,CAT,SNOWSHOE,LILAC PT,M,SMALL,10/1/2019,3/27/2022,00:00.0,STRAY,OTC,RTO,OFFICE,NORMAL,NORMAL,"3774 N JULIAN ST, DENVER CO 80211"
CHARLIE,DOG,SHIH TZU,BLACK,N,SMALL,6/27/2021,3/27/2022,00:00.0,CONFISCATE,FIELD,FOSTER,,CRUELTY,NORMAL,"9770 E ALAMEDA AVE, DENVER CO 80247"
CHARLIE,DOG,SHIH TZU,BLACK,N,SMALL,6/27/2021,4/26/2022,00:00.0,FOSTER IN,OTC,FOSTER,,NORMAL,NORMAL,FOSTER IN
CHARLIE,DOG,SHIH TZU,BLACK,N,SMALL,6/27/2021,4/29/2022,00:00.0,FOSTER IN,OTC,FOSTER,,NORMAL,NORMAL,FOSTER IN
CHARLIE,DOG,SHIH TZU,BLACK,N,SMALL,6/27/2021,5/24/2022,00:00.0,FOSTER IN,OTC,FOSTER,,NORMAL,NORMAL,FOSTER IN
CHARLIE,DOG,SHIH TZU,BLACK,N,SMALL,6/27/2021,6/24/2022,00:00.0,FOSTER IN,OTC,FOSTER,,NORMAL,H-HEALTHY,FOSTER IN
CHARLIE,DOG,SHIH TZU,BLACK,N,SMALL,6/27/2021,5/31/2022,00:00.0,FOSTER IN,OTC,FOSTER,,NORMAL,NORMAL,FOSTER IN
CHARLIE,DOG,SHIH TZU,BLACK,N,SMALL,6/27/2021,8/16/2022,00:00.0,FOSTER IN,OTC,FOSTER,,NORMAL,,FOSTER IN
CHARLIE,DOG,SHIH TZU,BLACK,N,SMALL,6/27/2021,8/14/2022,00:00.0,FOSTER IN,OTC,FOSTER,,NORMAL,,FOSTER IN
CHARLIE,DOG,SHIH TZU,BLACK,N,SMALL,6/27/2021,7/22/2022,00:00.0,FOSTER IN,OTC,FOSTER,,NORMAL,H-HEALTHY,FOSTER IN
REGINALD,OTHER,FRENCH LOP,WHITE,N,MED,4/5/2021,3/27/2022,00:00.0,STRAY,FIELD,ADOPTION,EMAIL,NORMAL,T/M EXOTIC,"4350 N DUNKIRK WAY, DENVER CO 80249"
,OTHER,RACCOON,BLACK,U,MED,,3/27/2022,00:00.0,CONFISCATE,FIELD,TRANSFER,STATE LAB,DEAD,DEAD,"2949 S DETROIT WAY, DENVER CO 80210"
SPROUT,DOG,CHIHUAHUA SH,BROWN,S,SMALL,4/5/2020,3/28/2022,00:00.0,STRAY,OTC,ADOPTION,EMAIL,NORMAL,T/M FEARFU,"1241 W BAYAUD AVE, DENVER CO 80223"
,CAT,DOMESTIC LH,BLK TABBY,N,MED,4/12/2021,3/28/2022,00:00.0,STRAY,DROP BOX,TRANSFER,SNR P & C,NORMAL,U/U FER AD,"1241 W BAYAUD AVE, DENVER CO"
,DOG,AM PIT BULL TER,GRAY,F,LARGE,3/28/2020,3/28/2022,00:00.0,STRAY,FIELD,EUTH,,INJURED,U/U AGG,"1545 N QUEBEC ST, DENVER CO 80220"
MR. POTATO HEAD,DOG,AMER BULLDOG,BLACK,N,X-LRG,4/6/2020,3/28/2022,00:00.0,STRAY,,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"5394 N BILLINGS ST, DENVER CO 80239"
DR. SEUSS,DOG,AM PIT BULL TER,BR BRINDLE,N,MED,4/2/2019,3/28/2022,00:00.0,OWNER SUR,FIELD,EUTH,,NORMAL,RQ H AR,"4812 N STEELE ST, DENVER CO 80216"
HALO,DOG,AMER BULLDOG,BROWN,F,LARGE,3/28/2015,3/28/2022,00:00.0,CONFISCATE,BQ,EUTH,U/U EQ,AGGRESSIVE,CREMATION,"2575 S HOOKER ST, DENVER CO 80219"
VOLDETORT,OTHER,TORTOISE,BROWN,U,SMALL,,3/28/2022,00:00.0,STRAY,DROP BOX,TRANSFER,LIBR,NORMAL,T/M EXOTIC,"1241 W BAYAUD AVE, DENVER CO 80223"
EPIC,DOG,BULL TERRIER,WHITE,N,MED,10/31/2016,3/28/2022,00:00.0,STRAY TAGS,DROP BOX,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"1241 W BAYAUD AVE, DENVER CO 80223"
EPIC,DOG,BULL TERRIER,WHITE,N,MED,10/31/2016,5/16/2022,00:00.0,ADOPT RET,OTC,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"1303 S QUIETO CT, DENVER CO 80223"
FRAN,CAT,DOMESTIC LH,CALICO,S,MED,,3/29/2022,00:00.0,STRAY,,ADOPTION,EMAIL,NORMAL,U/U FER AD,"1241 W BAYAUD AVE, DENVER CO"
BELLA,CAT,DOMESTIC MH,BRN TABBY,S,LARGE,3/30/2018,3/29/2022,00:00.0,STRAY,EVICTION,RTO,OFFICE,NORMAL,NORMAL,"1035 N SHERMAN ST, DENVER CO 80203"
LOTTO,CAT,DOMESTIC SH,BLACK,N,LARGE,3/30/2017,3/29/2022,00:00.0,STRAY,EVICTION,RTO,OFFICE,NORMAL,NORMAL,"1035 N SHERMAN ST, DENVER CO 80203"
OREO,CAT,DOMESTIC SH,BLACK,N,LARGE,3/30/2018,3/29/2022,00:00.0,STRAY,EVICTION,RTO,OFFICE,NORMAL,NORMAL,"1035 N SHERMAN ST, DENVER CO 80203"
MIDNIGHT,CAT,DOMESTIC SH,BLACK,S,LARGE,3/30/2002,3/29/2022,00:00.0,STRAY,EVICTION,RTO,OFFICE,NORMAL,NORMAL,"1035 N SHERMAN ST, DENVER CO 80203"
KATSU,OTHER,BETTA,BLUE,U,SMALL,,3/29/2022,00:00.0,STRAY,EVICTION,RTO,OFFICE,NORMAL,NORMAL,"1035 N SHERMAN ST, DENVER CO 80203"
LOLA,CAT,DOMESTIC SH,WHITE,F,KITTN,12/3/2021,3/29/2022,00:00.0,OWNER SUR,SAFE,FOSTER,,NORMAL,,SAFE PROGRAM
LOLA,CAT,DOMESTIC SH,WHITE,F,KITTN,12/3/2021,4/24/2022,00:00.0,FOSTER IN,SAFE,RTO,OFFICE,NORMAL,NORMAL,SAFE PROGRAM
CHIQUITO,CAT,DOMESTIC SH,WHITE,N,SMALL,3/31/2019,3/29/2022,00:00.0,STRAY,OTC,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"116 S ALCOTT ST, DENVER CO 80223"
PHOEBE,CAT,DOMESTIC LH,BLACK,S,SMALL,6/29/2021,3/29/2022,00:00.0,STRAY,,ADOPTION,EMAIL,INJURED,T/M MED MO,"2129 N DOWNING ST, DENVER CO 80205"
WALKER,DOG,BOXER,TRICOLOR,N,MED,3/29/2020,3/29/2022,00:00.0,STRAY,,ADOPTION,EMAIL,NORMAL,T/M MED MO,"300 N FEDERAL BLVD, DENVER CO 80219"
MAX,DOG,AMER BULLDOG,TAN,M,LARGE,9/30/2020,3/29/2022,00:00.0,STRAY,OTC,RTO,OFFICE,NORMAL,NORMAL,"2501 31ST ST, DENVER CO 80205"
MAX,DOG,AMER BULLDOG,TAN,M,LARGE,9/30/2020,10/8/2022,00:00.0,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,,3003 N GAYLORD ST DENVER 80205
CAROLINA,CAT,DOMESTIC SH,CALICO,S,MED,4/4/2020,3/29/2022,00:00.0,STRAY,FIELD,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"1855 ARAPAHOE ST, DENVER CO 80202"
PRECIOUS,DOG,CHIHUAHUA LH,BROWN,S,SMALL,3/29/2012,3/29/2022,00:00.0,STRAY TAGS,FIELD,TRANSFER,LONGMNT HS,NORMAL,T/M GERAT,"834 31ST ST, DENVER CO 80205"
JELLYBEAN,DOG,CHIHUAHUA SH,BLACK,N,SMALL,12/3/2021,3/29/2022,00:00.0,STRAY,OTC,ADOPTION,EMAIL,NORMAL,T/M MED MO,"201 S ZUNI ST, DENVER CO 80223"
,OTHER,SQUIRREL,BROWN,U,SMALL,,3/29/2022,00:00.0,STRAY,OTC,EUTH,,INJURED,U/U WILDLF,"5130 N CHASE ST, DENVER CO 80212"
TOBY,DOG,WH TERRIER,TAN,M,MED,11/29/2020,3/29/2022,00:00.0,OWNER SUR,FIELD,TRANSFER,,FEARFUL,H-HEALTHY,"1255 N YATES ST, DENVER CO 80204"
ALASKA,DOG,GREAT PYRENEES,WHITE,F,LARGE,3/29/2021,3/29/2022,00:00.0,OWNER SUR,FIELD,EUTH,,FEARFUL,U/U HIS AG,"1255 N YATES ST, DENVER CO 80204"
